enzyme	source	reaction	rate	cid	acceptor
At_71B1	GT-Predict	0		5280896	Abscisic acid
At_71B5	GT-Predict	0		5280896	Abscisic acid
At_71B6	GT-Predict	1		5280896	Abscisic acid
At_71B8	GT-Predict	0		5280896	Abscisic acid
At_71C1	GT-Predict	0		5280896	Abscisic acid
At_71C2	GT-Predict	0		5280896	Abscisic acid
At_71C3	GT-Predict	0		5280896	Abscisic acid
At_71C4	GT-Predict	0		5280896	Abscisic acid
At_71C5	GT-Predict	0		5280896	Abscisic acid
At_72B1	GT-Predict	0		5280896	Abscisic acid
At_72B3	GT-Predict	0		5280896	Abscisic acid
At_72C1	GT-Predict	0		5280896	Abscisic acid
At_72D1	GT-Predict	0		5280896	Abscisic acid
At_72E1	GT-Predict	0		5280896	Abscisic acid
At_72E2	GT-Predict	0		5280896	Abscisic acid
At_72E3	GT-Predict	0		5280896	Abscisic acid
At_73B1	GT-Predict	1		5280896	Abscisic acid
At_73B2	GT-Predict	0		5280896	Abscisic acid
At_73B3	GT-Predict	0		5280896	Abscisic acid
At_73B4	GT-Predict	0		5280896	Abscisic acid
At_73B5	GT-Predict	0		5280896	Abscisic acid
At_73C1	GT-Predict	0		5280896	Abscisic acid
At_73C3	GT-Predict	0		5280896	Abscisic acid
At_73C4	GT-Predict	0		5280896	Abscisic acid
At_73C5	GT-Predict	0		5280896	Abscisic acid
At_73C6	GT-Predict	0		5280896	Abscisic acid
At_73C7	GT-Predict	0		5280896	Abscisic acid
At_74B1	GT-Predict	0		5280896	Abscisic acid
At_74F1	GT-Predict	0		5280896	Abscisic acid
At_74F2	GT-Predict	0		5280896	Abscisic acid
At_75B1	GT-Predict	1		5280896	Abscisic acid
At_75D1	GT-Predict	0		5280896	Abscisic acid
At_76C4	GT-Predict	0		5280896	Abscisic acid
At_76E1	GT-Predict	0		5280896	Abscisic acid
At_76E11	GT-Predict	0		5280896	Abscisic acid
At_76E12	GT-Predict	0		5280896	Abscisic acid
At_76E2	GT-Predict	0		5280896	Abscisic acid
At_76E4	GT-Predict	0		5280896	Abscisic acid
At_76E5	GT-Predict	0		5280896	Abscisic acid
At_78D1	GT-Predict	0		5280896	Abscisic acid
At_78D2	GT-Predict	0		5280896	Abscisic acid
At_84A1	GT-Predict	1		5280896	Abscisic acid
At_84A2	GT-Predict	1		5280896	Abscisic acid
At_84A3	GT-Predict	0		5280896	Abscisic acid
At_84A4	GT-Predict	0		5280896	Abscisic acid
At_84B1	GT-Predict	1		5280896	Abscisic acid
At_84B2	GT-Predict	1		5280896	Abscisic acid
At_85A4	GT-Predict	0		5280896	Abscisic acid
At_85A5	GT-Predict	0		5280896	Abscisic acid
At_88A1	GT-Predict	0		5280896	Abscisic acid
At_89B1	GT-Predict	0		5280896	Abscisic acid
At_89C1	GT-Predict	0		5280896	Abscisic acid
VVGT1	GT-Predict	0		5280896	Abscisic acid
At_71B1	GT-Predict	0		5281166	Jasmonic acid
At_71B5	GT-Predict	0		5281166	Jasmonic acid
At_71B6	GT-Predict	0		5281166	Jasmonic acid
At_71B8	GT-Predict	0		5281166	Jasmonic acid
At_71C1	GT-Predict	0		5281166	Jasmonic acid
At_71C2	GT-Predict	0		5281166	Jasmonic acid
At_71C3	GT-Predict	0		5281166	Jasmonic acid
At_71C4	GT-Predict	0		5281166	Jasmonic acid
At_71C5	GT-Predict	0		5281166	Jasmonic acid
At_72B1	GT-Predict	0		5281166	Jasmonic acid
At_72B3	GT-Predict	0		5281166	Jasmonic acid
At_72C1	GT-Predict	0		5281166	Jasmonic acid
At_72D1	GT-Predict	0		5281166	Jasmonic acid
At_72E1	GT-Predict	0		5281166	Jasmonic acid
At_72E2	GT-Predict	0		5281166	Jasmonic acid
At_72E3	GT-Predict	0		5281166	Jasmonic acid
At_73B1	GT-Predict	0		5281166	Jasmonic acid
At_73B2	GT-Predict	0		5281166	Jasmonic acid
At_73B3	GT-Predict	0		5281166	Jasmonic acid
At_73B4	GT-Predict	0		5281166	Jasmonic acid
At_73B5	GT-Predict	0		5281166	Jasmonic acid
At_73C1	GT-Predict	0		5281166	Jasmonic acid
At_73C3	GT-Predict	0		5281166	Jasmonic acid
At_73C4	GT-Predict	0		5281166	Jasmonic acid
At_73C5	GT-Predict	0		5281166	Jasmonic acid
At_73C6	GT-Predict	0		5281166	Jasmonic acid
At_73C7	GT-Predict	0		5281166	Jasmonic acid
At_74B1	GT-Predict	0		5281166	Jasmonic acid
At_74F1	GT-Predict	0		5281166	Jasmonic acid
At_74F2	GT-Predict	0		5281166	Jasmonic acid
At_75B1	GT-Predict	1		5281166	Jasmonic acid
At_75D1	GT-Predict	0		5281166	Jasmonic acid
At_76C4	GT-Predict	0		5281166	Jasmonic acid
At_76E1	GT-Predict	0		5281166	Jasmonic acid
At_76E11	GT-Predict	0		5281166	Jasmonic acid
At_76E12	GT-Predict	0		5281166	Jasmonic acid
At_76E2	GT-Predict	0		5281166	Jasmonic acid
At_76E4	GT-Predict	0		5281166	Jasmonic acid
At_76E5	GT-Predict	0		5281166	Jasmonic acid
At_78D1	GT-Predict	0		5281166	Jasmonic acid
At_78D2	GT-Predict	0		5281166	Jasmonic acid
At_84A1	GT-Predict	1		5281166	Jasmonic acid
At_84A2	GT-Predict	1		5281166	Jasmonic acid
At_84A3	GT-Predict	0		5281166	Jasmonic acid
At_84A4	GT-Predict	0		5281166	Jasmonic acid
At_84B1	GT-Predict	0		5281166	Jasmonic acid
At_84B2	GT-Predict	0		5281166	Jasmonic acid
At_85A4	GT-Predict	0		5281166	Jasmonic acid
At_85A5	GT-Predict	0		5281166	Jasmonic acid
At_88A1	GT-Predict	0		5281166	Jasmonic acid
At_89B1	GT-Predict	0		5281166	Jasmonic acid
At_89C1	GT-Predict	0		5281166	Jasmonic acid
VVGT1	GT-Predict	0		5281166	Jasmonic acid
At_72B1	pTMH	0	-0.003417066	69867	Indole-3-carboxylic acid
At_72E2	pTMH	0	-0.00261537	69867	Indole-3-carboxylic acid
Mt_71G1	pTMH	0	0.00063571	69867	Indole-3-carboxylic acid
Mt_78G1	pTMH	0	0.00051574	69867	Indole-3-carboxylic acid
Nt_UGT1	pTMH	0	-0.000422277	69867	Indole-3-carboxylic acid
Pt_UGT1	pTMH	0	-0.000923119	69867	Indole-3-carboxylic acid
At_71B1	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
At_71B5	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_71B6	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_71B8	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_71C1	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_71C2	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_71C3	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
At_71C4	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
At_71C5	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_72B1	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
At_72B3	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_72C1	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_72D1	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
At_72E1	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_72E2	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_72E3	GT-Predict	0.5		3469	2,5-Dihydroxybenzoic acid
At_73B1	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_73B2	GT-Predict	0		3469	2,5-Dihydroxybenzoic acid
At_73B3	GT-Predict	1		3469	2,5-Dihydroxybenzoic acid
